status,family,upstream,fontfiles prefix,Notes
?,imfellenglishsc,,,
?,imfellfrenchcanon,,,
?,imfellfrenchcanonsc,,,
?,imfellgreatprimer,,,
?,imfellgreatprimersc,,,
?,imprima,,,
OK,Inconsolata,https://github.com/cyrealtype/Inconsolata,fonts/ttf/Inconsolata-,
?,inder,,,
OK,Indie Flower,https://github.com/googlefonts/indieflower.git,fonts/IndieFlower-,
?,inika,,,
OK,Inknut Antiqua,https://github.com/clauseggers/Inknut-Antiqua.git,TTF-OTF/InknutAntiqua-,
?,irishgrover,,,
?,irishgrowler,,,
?,istokweb,,,
?,italiana,,,
?,italianno,,,
OK,Itim,https://github.com/cadsondemak/itim.git,fonts/Itim-,
?,jacquesfrancois,,,
?,jacquesfrancoisshadow,,,
GH-PAGES,Jaldi,https://github.com/Omnibus-Type/Jaldi,gh-pages/Fonts/Jaldi-,
?,jejugothic,,,
?,jejuhallasan,,,
?,jejumyeongjo,,,
?,jimnightshade,,,
?,jockeyone,,,
?,jollylodger,,,
?,jomolhari,,,
SOURCE-ONLY,josefinsans,https://github.com/ThomasJockin/JosefinSansFont-master,sources/JosefinSans.glyphs,
?,josefinsansstdlight,,,
?,josefinslab,,,
?,jotione,,,
?,jsmathcmbx10,,,
?,jsmathcmex10,,,
?,jsmathcmmi10,,,
?,jsmathcmr10,,,
?,jsmathcmsy10,,,
?,jsmathcmti10,,,
?,judson,,,
?,julee,,,
?,juliussansone,,,
?,junge,,,
NOTE,Jura,https://github.com/ossobuffo/jura,fonts/ttf/Jura-,"This seems to be the upstream repo, even though there's some work being done towards merging a large pull request at https://github.com/googlefonts/jura/pull/2"
?,justanotherhand,,,
?,justmeagaindownhere,,,
NOTE,Kadwa,https://github.com/solmatas/Kadwa,Kadwa Font Files/Kadwa-,"There's also a ""Kadwa Cyrillic"" in this repo, but only Glyphs source files. No TTF binaries."
OTF,Kalam,https://github.com/itfoundry/kalam,build/Kalam-,
?,kameron,,,
OK,Kanit,https://github.com/cadsondemak/kanit.git,font/Kanit-,
?,kantumruy,,,
?,karla,,,
?,karlatamilinclined,,,
?,karlatamilupright,,,
?,karma,,,
?,kaushanscript,,,
OK,Kavoon,https://github.com/EbenSorkin/Kavoon.git,Kavoon-,
?,kdamthmor,,,
?,keaniaone,,,
?,kellyslab,,,
?,kenia,,,
OTF,Khand,https://github.com/itfoundry/khand,build/Khand-,
?,khmer,,,
OK,Khula,https://github.com/erinmclaughlin/Khula.git,ttf_hinted/Khula-,
?,khyay,,,
?,kiteone,,,
?,knewave,,,
?,kokoro,,,
?,kopubbatang,,,
?,kottaone,,,
?,koulen,,,
?,kranky,,,
?,kreon,,,
?,kristi,,,
?,kronaone,,,
OK,Kurale,https://github.com/etunni/kurale.git,fonts/Kurale-,
?,labelleaurore,,,
?,laila,,,
?,lakkireddy,,,
OK,Lalezar,https://github.com/BornaIz/Lalezar,fonts/Lalezar-,
?,lancelot,,,
?,laomuangdon,,,
?,laomuangkhong,,,
?,laosanspro,,,
?,lateef,,,
OK,Lato,https://github.com/googlefonts/LatoGFVersion.git,fonts/Lato-,
?,leaguescript,,,
?,leckerlione,,,
?,ledger,,,
?,lekton,,,
?,lemon,,,
?,librebaskerville,,,
?,librecaslontext,,,
?,lifesavers,,,
?,lilitaone,,,
?,lilyscriptone,,,
?,limelight,,,
?,lindenhill,,,
OK,Lobster,https://github.com/impallari/The-Lobster-Font,fonts/ttf/Lobster-,
?,lobstertwo,,,
?,lohitbengali,,,
?,lohitdevanagari,,,
?,lohittamil,,,
?,londrinaoutline,,,
?,londrinashadow,,,
?,londrinasketch,,,
?,londrinasolid,,,
OK,Lora,https://github.com/cyrealtype/Lora-Cyrillic,fonts/ttf/Lora-,
?,lovedbytheking,,,
?,loversquarrel,,,
?,loveyalikeasister,,,
?,luckiestguy,,,
?,lusitana,,,
?,lustria,,,
?,macondo,,,
?,macondoswashcaps,,,
?,magra,,,
?,maidenorange,,,
?,mako,,,
UFO,Mallanna,https://github.com/appajid/mallanna,Mallanna,
UFO,Mandali,https://github.com/appajid/mandali,Mandali,
?,manuale,https://github.com/Omnibus-Type/Manuale,,
?,marcellus,,,
?,marcellussc,,,
?,marckscript,,,
?,margarine,,,
?,markoone,,,
OK,Marmelad,https://github.com/cyrealtype/Marmelad-Cyrillic,fonts/Marmelad-,
NOTE,Martel,https://github.com/typeoff/martel,Martel Font Files/TTFs with ttfautohints/Martel-,"There's also a ""Martel"" family without autohints at this repo."
NOTE,Martel Sans,https://github.com/typeoff/martel_sans,Martel Sans Font Files/TTFs with ttautohints/MartelSans-,"There's also a ""Martel Sans"" family without autohints at this repo."
?,marvel,,,
?,mate,,,
?,matesc,,,
OK,Maven Pro,https://github.com/googlefonts/mavenproFont.git,fonts/MavenPro-,
?,mavenprovfbeta,,,
?,mclaren,,,
?,meddon,,,
?,medievalsharp,,,
?,medulaone,,,
?,megrim,,,
?,meiescript,,,
?,mergeone,,,
?,merienda,,,
?,meriendaone,,,
OK,Merriweather,https://github.com/EbenSorkin/Merriweather,fonts/ttf/Merriweather-,
UFO,Merriweather Sans,https://github.com/EbenSorkin/Merriweather-Sans,SRC/MerriweatherSans-,
?,mervalescript,,,
?,metal,,,
?,metalmania,,,
?,metamorphous,,,
OK,Metrophobic,https://github.com/googlefonts/MetrophobicFont.git,fonts/Metrophobic-,
?,miama,,,
?,michroma,,,
?,milonga,,,
?,miltonian,,,
?,miltoniantattoo,,,
OK,Mina,https://github.com/googlefonts/MooniakFontsGFVersion,fonts/Mina-,
?,miniver,,,
?,missfajardose,,,
?,misssaintdelafield,,,
TTX,Modak,https://github.com/girish-dalvi/Modak,TTX/Modak-,
?,modernantiqua,,,
SOURCE-ONLY,Molengo,https://github.com/googlefonts/molengo-fonts.git,sfd/Molengo-,
?,molle,,,
UFO,Monda,https://github.com/vernnobile/mondaFont,in-progress/Roman/Monda-,
?,monofett,,,
?,monoton,,,
?,monsieurladoulaise,,,
?,montaga,,,
?,montez,,,
OK,Montserrat,https://github.com/JulietaUla/Montserrat,fonts/ttf/Montserrat-,
OK,Montserrat Alternates,https://github.com/JulietaUla/Montserrat,fonts/ttf/MontserratAlternates-,
?,montserratsubrayada,,,
?,moul,,,
?,moulpali,,,
?,mountainsofchristmas,,,
?,mousememoirs,,,
?,mplus1p,,,
?,mrbedford,,,
?,mrbedfort,,,
?,mrdafoe,,,
?,mrdehaviland,,,
?,mrssaintdelafield,,,
?,mrssheppards,,,
?,mukta,,,
?,muktamalar,,,
?,muktavaani,,,
OK,Muli,https://github.com/googlefonts/MuliFont.git,fonts/Muli-,
?,myanmarsanspro,,,
?,mysteryquest,,,
?,nanumbrushscript,,,
?,nanumgothic,,,
?,nanumgothiccoding,,,
?,nanummyeongjo,,,
?,nanumpenscript,,,
UFO,Nats,https://github.com/appajid/nats,NATS,
?,neucha,,,
?,neuton,,,
?,newrocker,,,
?,newscycle,,,
?,nicomoji,,,
?,niconne,,,
?,nikukyu,,,
?,nixieone,,,
?,nobile,,,
?,nokora,,,
?,norican,,,
?,nosifer,,,
?,nosifercaps,,,
?,nothingyoucoulddo,,,
?,noticiatext,,,
?,notosans,,,
?,notoserif,,,
?,novacut,,,
?,novaflat,,,
?,novamono,,,
?,novaoval,,,
?,novaround,,,
?,novascript,,,
?,novaslim,,,
?,novasquare,,,
UFO,Ntr,https://github.com/appajid/ntr,NTR,
?,numans,,,
NOTE,Nunito,https://github.com/googlefonts/NunitoFont.git,fonts/Nunito-,"There's also a ""NunitoHeavy"" family in the above repo."
SOURCE-ONLY,Nunito Sans,https://github.com/Fonthausen/NunitoSans,?,Repo tree structure is not clear to me.
?,nunitosansvfbeta,,,
?,nunitovfbeta,,,
?,odormeanchey,,,
?,offside,,,
